Year,System Code,System,School Code,School,Grade,Gender,Ethnicity,Sub Population,Total Student Count,Asian,Asian %,Black or African American,Black or African American %,American Indian / Alaska Native, American Indian / Alaska Native %,Native Hawaiian / Pacific Islander,Native Hawaiian / Pacific Islander %,White,White %,Two or more races,Two or more races %
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 01,Male,Hispanic/Latino,Students with Limited English Proficiency,2257,*,*,14,~,913,40.45,51,~,1011,44.79,264,11.70
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 01,Male,Hispanic/Latino,Homeless,96,*,*,*,*,44,45.83,*,*,30,31.25,19,19.79
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 01,Male,Hispanic/Latino,Migrant,59,*,*,*,*,35,59.32,*,*,16,27.12,*,*
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 01,Male,Hispanic/Latino,Students with Disabilities,523,*,*,25,~,106,20.27,*,*,307,58.70,80,15.30
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 01,Male,Hispanic/Latino,General Education Students,3126,15,~,128,~,1008,32.25,58,~,1508,48.24,409,13.08
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 01,Male,Hispanic/Latino,Economically Disadvantaged,2966,*,*,129,~,944,31.83,53,~,1424,48.01,407,13.72
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 01,Male,Hispanic/Latino,Foster,*,*,*,*,*,*,*,*,*,*,*,*,*
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 01,Male,Hispanic/Latino,Military Family,55,*,*,*,*,*,*,*,*,34,61.82,*,*
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 01,Male,Hispanic/Latino,Non-Economically Disadvantaged,683,*,*,24,~,170,24.89,*,*,391,57.25,82,12.01
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 01,Male,Other Ethnicity,All SubPopulation,26131,394,~,9094,34.80,188,~,38,~,14890,56.98,1527,5.84
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 01,Male,Other Ethnicity,Students with Limited English Proficiency,305,157,51.48,33,10.82,*,*,*,*,77,25.25,24,7.87
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 01,Male,Other Ethnicity,Homeless,591,*,*,323,54.65,*,*,*,*,197,33.33,65,11.00
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 01,Male,Other Ethnicity,Migrant,11,*,*,*,*,*,*,*,*,*,*,*,*
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 01,Male,Other Ethnicity,Students with Disabilities,6036,59,~,1938,32.11,39,~,*,*,3646,60.40,346,5.73
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 01,Male,Other Ethnicity,General Education Students,20095,335,~,7156,35.61,149,~,30,~,11244,55.95,1181,5.88
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 01,Male,Other Ethnicity,Economically Disadvantaged,17693,155,~,8115,45.87,101,~,26,~,8115,45.87,1181,6.67
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 01,Male,Other Ethnicity,Foster,152,*,*,40,26.32,*,*,*,*,91,59.87,20,13.16
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 01,Male,Other Ethnicity,Military Family,448,*,*,118,26.34,*,*,*,*,264,58.93,54,12.05
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 01,Male,Other Ethnicity,Non-Economically Disadvantaged,8438,239,~,979,11.60,87,~,12,~,6775,80.29,346,~
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 02,All Gender,All Ethnicity,All SubPopulation,57436,863,~,18063,31.45,2431,~,158,~,32468,56.53,3453,6.01
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 02,All Gender,All Ethnicity,Students with Limited English Proficiency,4897,370,7.56,76,~,1649,33.67,88,~,2176,44.44,538,10.99
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 02,All Gender,All Ethnicity,Homeless,1193,*,*,583,48.87,93,7.80,*,*,393,32.94,116,9.72
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 02,All Gender,All Ethnicity,Migrant,117,*,*,*,*,57,48.72,*,*,33,28.21,24,20.51
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 02,All Gender,All Ethnicity,Students with Disabilities,10077,83,~,3165,31.41,227,~,24,~,6065,60.19,513,5.09
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 02,All Gender,All Ethnicity,General Education Students,47359,780,~,14898,31.46,2204,~,134,~,26403,55.75,2940,6.21
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 02,All Gender,All Ethnicity,Economically Disadvantaged,39332,347,~,15976,40.62,1976,5.02,124,~,18298,46.52,2611,6.64
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 02,All Gender,All Ethnicity,Foster,305,*,*,91,29.84,*,*,*,*,184,60.33,24,7.87
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 02,All Gender,All Ethnicity,Military Family,1044,21,~,293,28.07,14,~,*,*,624,59.77,85,8.14
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 02,All Gender,All Ethnicity,Non-Economically Disadvantaged,18104,516,~,2087,11.53,455,~,34,~,14170,78.27,842,~
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 02,All Gender,Hispanic/Latino,All SubPopulation,7027,42,~,255,~,2045,29.10,104,~,3715,52.87,866,12.32
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 02,All Gender,Hispanic/Latino,Students with Limited English Proficiency,4252,16,~,22,~,1630,38.33,74,~,2022,47.55,488,11.48
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 02,All Gender,Hispanic/Latino,Homeless,203,*,*,*,*,88,43.35,*,*,60,29.56,49,24.14
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 02,All Gender,Hispanic/Latino,Migrant,97,*,*,*,*,52,53.61,*,*,24,24.74,21,21.65
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 02,All Gender,Hispanic/Latino,Students with Disabilities,854,*,*,35,~,177,20.73,13,~,532,62.30,92,10.77
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 02,All Gender,Hispanic/Latino,General Education Students,6173,37,~,220,~,1868,30.26,91,~,3183,51.56,774,12.54
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 02,All Gender,Hispanic/Latino,Economically Disadvantaged,5668,26,~,199,~,1739,30.68,84,~,2931,51.71,689,12.16
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 02,All Gender,Hispanic/Latino,Foster,18,*,*,*,*,*,*,*,*,*,*,*,*
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 02,All Gender,Hispanic/Latino,Military Family,108,*,*,*,*,*,*,*,*,69,63.89,15,13.89
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 02,All Gender,Hispanic/Latino,Non-Economically Disadvantaged,1359,16,~,56,~,306,22.52,20,~,784,57.69,177,13.02
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 02,All Gender,Other Ethnicity,All SubPopulation,50409,821,~,17808,35.33,386,~,54,~,28753,57.04,2587,5.13
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 02,All Gender,Other Ethnicity,Students with Limited English Proficiency,645,354,54.88,54,8.37,19,~,14,~,154,23.88,50,7.75
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 02,All Gender,Other Ethnicity,Homeless,990,*,*,578,58.38,*,*,*,*,333,33.64,67,6.77
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 02,All Gender,Other Ethnicity,Migrant,20,*,*,*,*,*,*,*,*,*,*,*,*
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 02,All Gender,Other Ethnicity,Students with Disabilities,9223,78,~,3130,33.94,50,~,11,~,5533,59.99,421,~
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 02,All Gender,Other Ethnicity,General Education Students,41186,743,~,14678,35.64,336,~,43,~,23220,56.38,2166,5.26
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 02,All Gender,Other Ethnicity,Economically Disadvantaged,33664,321,~,15777,46.87,237,~,40,~,15367,45.65,1922,5.71
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 02,All Gender,Other Ethnicity,Foster,287,*,*,90,31.36,*,*,*,*,169,58.89,24,8.36
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 02,All Gender,Other Ethnicity,Military Family,936,19,~,283,30.24,*,*,*,*,555,59.29,70,7.48
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 02,All Gender,Other Ethnicity,Non-Economically Disadvantaged,16745,500,~,2031,12.13,149,~,14,~,13386,79.94,665,~
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 02,Female,All Ethnicity,All SubPopulation,27897,437,~,8694,31.16,1219,~,87,~,15802,56.64,1658,5.94
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 02,Female,All Ethnicity,Students with Limited English Proficiency,2303,170,7.38,36,~,805,34.95,51,~,999,43.38,242,10.51
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 02,Female,All Ethnicity,Homeless,587,*,*,295,50.26,39,6.64,*,*,197,33.56,55,9.37
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 02,Female,All Ethnicity,Migrant,51,*,*,*,*,25,49.02,*,*,18,35.29,*,*
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 02,Female,All Ethnicity,Students with Disabilities,3668,32,~,1118,30.48,98,~,*,*,2230,60.80,180,~
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 02,Female,All Ethnicity,General Education Students,24229,405,~,7576,31.27,1121,~,77,~,13572,56.02,1478,6.10
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 02,Female,All Ethnicity,Economically Disadvantaged,19180,174,~,7678,40.03,1004,5.23,66,~,9007,46.96,1251,6.52
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 02,Female,All Ethnicity,Foster,149,*,*,44,29.53,*,*,*,*,94,63.09,*,*
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 02,Female,All Ethnicity,Military Family,521,13,~,155,29.75,*,*,*,*,294,56.43,46,8.83
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 02,Female,All Ethnicity,Non-Economically Disadvantaged,8717,263,~,1016,11.66,215,~,21,~,6795,77.95,407,~
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 02,Female,Hispanic/Latino,All SubPopulation,3459,22,~,128,~,1018,29.43,59,~,1807,52.24,425,12.29
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 02,Female,Hispanic/Latino,Students with Limited English Proficiency,1996,*,*,*,*,796,39.88,42,~,922,46.19,219,10.97
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 02,Female,Hispanic/Latino,Homeless,99,*,*,*,*,36,36.36,*,*,33,33.33,28,28.28
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 02,Female,Hispanic/Latino,Migrant,42,*,*,*,*,23,54.76,*,*,14,33.33,*,*
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 02,Female,Hispanic/Latino,Students with Disabilities,328,*,*,16,~,74,22.56,*,*,191,58.23,38,11.59
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 02,Female,Hispanic/Latino,General Education Students,3131,19,~,112,~,944,30.15,53,~,1616,51.61,387,12.36
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 02,Female,Hispanic/Latino,Economically Disadvantaged,2787,11,~,100,~,875,31.40,45,~,1418,50.88,338,12.13
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 02,Female,Hispanic/Latino,Foster,*,*,*,*,*,*,*,*,*,*,*,*,*
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 02,Female,Hispanic/Latino,Military Family,53,*,*,*,*,*,*,*,*,32,60.38,*,*
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 02,Female,Hispanic/Latino,Non-Economically Disadvantaged,672,11,~,28,~,143,21.28,14,~,389,57.89,87,12.95
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 02,Female,Other Ethnicity,All SubPopulation,24438,415,~,8566,35.05,201,~,28,~,13995,57.27,1233,5.05
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 02,Female,Other Ethnicity,Students with Limited English Proficiency,307,162,52.77,27,8.79,*,*,*,*,77,25.08,23,7.49
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 02,Female,Other Ethnicity,Homeless,488,*,*,293,60.04,*,*,*,*,164,33.61,27,5.53
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 02,Female,Other Ethnicity,Migrant,*,*,*,*,*,*,*,*,*,*,*,*,*
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 02,Female,Other Ethnicity,Students with Disabilities,3340,29,~,1102,32.99,24,~,*,*,2039,61.05,142,~
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 02,Female,Other Ethnicity,General Education Students,21098,386,~,7464,35.38,177,~,24,~,11956,56.67,1091,5.17
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 02,Female,Other Ethnicity,Economically Disadvantaged,16393,163,~,7578,46.23,129,~,21,~,7589,46.29,913,5.57
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 02,Female,Other Ethnicity,Foster,142,*,*,43,30.28,*,*,*,*,89,62.68,*,*
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 02,Female,Other Ethnicity,Military Family,468,11,~,151,32.26,*,*,*,*,262,55.98,38,8.12
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 02,Female,Other Ethnicity,Non-Economically Disadvantaged,8045,252,~,988,12.28,72,~,*,*,6406,79.63,320,~
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 02,Male,All Ethnicity,All SubPopulation,29539,426,~,9369,31.72,1212,~,71,~,16666,56.42,1795,6.08
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 02,Male,All Ethnicity,Students with Limited English Proficiency,2594,200,7.71,40,~,844,32.54,37,~,1177,45.37,296,11.41
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 02,Male,All Ethnicity,Homeless,606,*,*,288,47.52,54,8.91,*,*,196,32.34,61,10.07
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 02,Male,All Ethnicity,Migrant,66,*,*,*,*,32,48.48,*,*,15,22.73,18,27.27
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 02,Male,All Ethnicity,Students with Disabilities,6409,51,~,2047,31.94,129,~,14,~,3835,59.84,333,5.20
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 02,Male,All Ethnicity,General Education Students,23130,375,~,7322,31.66,1083,~,57,~,12831,55.47,1462,6.32
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 02,Male,All Ethnicity,Economically Disadvantaged,20152,173,~,8298,41.18,972,~,58,~,9291,46.10,1360,6.75
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 02,Male,All Ethnicity,Foster,156,*,*,47,30.13,*,*,*,*,90,57.69,15,9.62
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 02,Male,All Ethnicity,Military Family,523,*,*,138,26.39,*,*,*,*,330,63.10,39,7.46
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 02,Male,All Ethnicity,Non-Economically Disadvantaged,9387,253,~,1071,11.41,240,~,13,~,7375,78.57,435,~
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 02,Male,Hispanic/Latino,All SubPopulation,3568,20,~,127,~,1027,28.78,45,~,1908,53.48,441,12.36
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 02,Male,Hispanic/Latino,Students with Limited English Proficiency,2256,*,*,13,~,834,36.97,32,~,1100,48.76,269,11.92
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 02,Male,Hispanic/Latino,Homeless,104,*,*,*,*,52,50.00,*,*,27,25.96,21,20.19
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 02,Male,Hispanic/Latino,Migrant,55,*,*,*,*,29,52.73,*,*,*,*,16,29.09
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 02,Male,Hispanic/Latino,Students with Disabilities,526,*,*,19,~,103,19.58,*,*,341,64.83,54,10.27
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 02,Male,Hispanic/Latino,General Education Students,3042,18,~,108,~,924,30.37,38,~,1567,51.51,387,12.72
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 02,Male,Hispanic/Latino,Economically Disadvantaged,2881,15,~,99,~,864,29.99,39,~,1513,52.52,351,12.18
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 02,Male,Hispanic/Latino,Foster,11,*,*,*,*,*,*,*,*,*,*,*,*
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 02,Male,Hispanic/Latino,Military Family,55,*,*,*,*,*,*,*,*,37,67.27,*,*
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 02,Male,Hispanic/Latino,Non-Economically Disadvantaged,687,*,*,28,~,163,23.73,*,*,395,57.50,90,13.10
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 02,Male,Other Ethnicity,All SubPopulation,25971,406,~,9242,35.59,185,~,26,~,14758,56.82,1354,5.21
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 02,Male,Other Ethnicity,Students with Limited English Proficiency,338,192,56.80,27,7.99,*,*,*,*,77,22.78,27,7.99
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 02,Male,Other Ethnicity,Homeless,502,*,*,285,56.77,*,*,*,*,169,33.67,40,7.97
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 02,Male,Other Ethnicity,Migrant,11,*,*,*,*,*,*,*,*,*,*,*,*
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 02,Male,Other Ethnicity,Students with Disabilities,5883,49,~,2028,34.47,26,~,*,*,3494,59.39,279,~
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 02,Male,Other Ethnicity,General Education Students,20088,357,~,7214,35.91,159,~,19,~,11264,56.07,1075,5.35
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 02,Male,Other Ethnicity,Economically Disadvantaged,17271,158,~,8199,47.47,108,~,19,~,7778,45.04,1009,5.84
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 02,Male,Other Ethnicity,Foster,145,*,*,47,32.41,*,*,*,*,80,55.17,15,10.34
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 02,Male,Other Ethnicity,Military Family,468,*,*,132,28.21,*,*,*,*,293,62.61,32,6.84
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 02,Male,Other Ethnicity,Non-Economically Disadvantaged,8700,248,~,1043,11.99,77,~,*,*,6980,80.23,345,~
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 03,All Gender,All Ethnicity,All SubPopulation,54649,851,~,17383,31.81,2370,~,150,~,30890,56.52,3005,5.50
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 03,All Gender,All Ethnicity,Students with Limited English Proficiency,4467,348,7.79,90,~,1515,33.92,69,~,1959,43.85,486,10.88
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 03,All Gender,All Ethnicity,Homeless,1059,*,*,510,48.16,78,7.37,*,*,351,33.14,105,9.92
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 03,All Gender,All Ethnicity,Migrant,104,*,*,*,*,59,56.73,*,*,21,20.19,18,17.31
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 03,All Gender,All Ethnicity,Students with Disabilities,10321,81,~,3454,33.47,303,~,27,~,5894,57.11,562,5.45
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 03,All Gender,All Ethnicity,General Education Students,44328,770,~,13929,31.42,2067,~,123,~,24996,56.39,2443,5.51
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 03,All Gender,All Ethnicity,Economically Disadvantaged,36706,353,~,15189,41.38,1967,5.36,117,~,16873,45.97,2207,6.01
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 03,All Gender,All Ethnicity,Foster,258,*,*,82,31.78,*,*,*,*,146,56.59,23,8.91
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 03,All Gender,All Ethnicity,Military Family,1213,14,~,312,25.72,18,~,*,*,768,63.31,96,7.91
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 03,All Gender,All Ethnicity,Non-Economically Disadvantaged,17943,498,~,2194,12.23,403,~,33,~,14017,78.12,798,~
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 03,All Gender,Hispanic/Latino,All SubPopulation,6504,34,~,251,~,1954,30.04,85,~,3394,52.18,786,12.08
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 03,All Gender,Hispanic/Latino,Students with Limited English Proficiency,3844,14,~,27,~,1485,38.63,60,~,1809,47.06,449,11.68
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 03,All Gender,Hispanic/Latino,Homeless,188,*,*,*,*,71,37.77,*,*,68,36.17,37,19.68
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 03,All Gender,Hispanic/Latino,Migrant,79,*,*,*,*,48,60.76,*,*,16,20.25,15,18.99
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 03,All Gender,Hispanic/Latino,Students with Disabilities,950,*,*,50,5.26,243,25.58,11,~,540,56.84,103,10.84
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 03,All Gender,Hispanic/Latino,General Education Students,5554,31,~,201,~,1711,30.81,74,~,2854,51.39,683,12.30
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 03,All Gender,Hispanic/Latino,Economically Disadvantaged,5308,22,~,209,~,1715,32.31,69,~,2660,50.11,633,11.93
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 03,All Gender,Hispanic/Latino,Foster,12,*,*,*,*,*,*,*,*,*,*,*,*
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 03,All Gender,Hispanic/Latino,Military Family,120,*,*,12,10.00,16,13.33,*,*,69,57.50,20,16.67
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 03,All Gender,Hispanic/Latino,Non-Economically Disadvantaged,1196,12,~,42,~,239,19.98,16,~,734,61.37,153,12.79
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 03,All Gender,Other Ethnicity,All SubPopulation,48145,817,~,17132,35.58,416,~,65,~,27496,57.11,2219,~
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 03,All Gender,Other Ethnicity,Students with Limited English Proficiency,623,334,53.61,63,10.11,30,~,*,*,150,24.08,37,5.94
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 03,All Gender,Other Ethnicity,Homeless,871,*,*,504,57.86,*,*,*,*,283,32.49,68,7.81
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 03,All Gender,Other Ethnicity,Migrant,25,*,*,*,*,11,44.00,*,*,*,*,*,*
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 03,All Gender,Other Ethnicity,Students with Disabilities,9371,78,~,3404,36.32,60,~,16,~,5354,57.13,459,~
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 03,All Gender,Other Ethnicity,General Education Students,38774,739,~,13728,35.41,356,~,49,~,22142,57.11,1760,~
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 03,All Gender,Other Ethnicity,Economically Disadvantaged,31398,331,~,14980,47.71,252,~,48,~,14213,45.27,1574,5.01
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 03,All Gender,Other Ethnicity,Foster,246,*,*,81,32.93,*,*,*,*,140,56.91,22,8.94
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 03,All Gender,Other Ethnicity,Military Family,1093,13,~,300,27.45,*,*,*,*,699,63.95,76,6.95
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 03,All Gender,Other Ethnicity,Non-Economically Disadvantaged,16747,486,~,2152,12.85,164,~,17,~,13283,79.32,645,~
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 03,Female,All Ethnicity,All SubPopulation,26651,413,~,8471,31.78,1125,~,73,~,15100,56.66,1469,5.51
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 03,Female,All Ethnicity,Students with Limited English Proficiency,2069,161,7.78,37,~,695,33.59,31,~,927,44.80,218,10.54
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 03,Female,All Ethnicity,Homeless,524,*,*,257,49.05,42,8.02,*,*,161,30.73,58,11.07
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 03,Female,All Ethnicity,Migrant,47,*,*,*,*,28,59.57,*,*,*,*,*,*
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 03,Female,All Ethnicity,Students with Disabilities,3743,32,~,1166,31.15,109,~,*,*,2216,59.20,210,5.61
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 03,Female,All Ethnicity,General Education Students,22908,381,~,7305,31.89,1016,~,63,~,12884,56.24,1259,5.50
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 03,Female,All Ethnicity,Economically Disadvantaged,17802,180,~,7347,41.27,936,5.26,53,~,8231,46.24,1055,5.93
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 03,Female,All Ethnicity,Foster,116,*,*,32,27.59,*,*,*,*,71,61.21,11,9.48
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 03,Female,All Ethnicity,Military Family,639,*,*,168,26.29,11,~,*,*,405,63.38,46,7.20
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 03,Female,All Ethnicity,Non-Economically Disadvantaged,8849,233,~,1124,12.70,189,~,20,~,6869,77.62,414,~
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 03,Female,Hispanic/Latino,All SubPopulation,3134,21,~,120,~,935,29.83,37,~,1651,52.68,370,11.81
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 03,Female,Hispanic/Latino,Students with Limited English Proficiency,1781,*,*,*,*,683,38.35,26,~,853,47.89,203,11.40
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 03,Female,Hispanic/Latino,Homeless,83,*,*,*,*,36,43.37,*,*,22,26.51,21,25.30
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 03,Female,Hispanic/Latino,Migrant,37,*,*,*,*,23,62.16,*,*,*,*,*,*
2024,000,Alabama State Department of Education,0000,Alabama State Department of Education,Grade 03,Female,Hispanic/Latino,Students with Disabilities,346,*,*,12,~,90,26.01,*,*,202,58.38,39,11.27
